Unnamed: 0,id,creation_time,flight_number,flight_date,departure_airport,action_name
0,33902381,2024-05-01 09:14:42,2359,1,BLR,ASMMsgProcessor
1,33910427,2024-05-01 10:28:12,2104,2,BLR,ASMMsgProcessor
2,33910380,2024-05-01 10:28:11,2109,2,BLR,ASMMsgProcessor
3,33909790,2024-05-01 10:28:12,2110,2,BOM,ASMMsgProcessor
4,33902706,2024-05-01 09:14:41,2127,2,BOM,ASMMsgProcessor
17,33939222,2024-05-01 19:10:13,2109,3,BLR,ASMMsgProcessor
18,34009039,2024-05-02 11:40:50,2359,3,BLR,ASMMsgProcessor
24,34009547,2024-05-02 11:40:50,2104,4,BLR,ASMMsgProcessor
25,34009761,2024-05-02 11:40:51,2109,4,BLR,ASMMsgProcessor
26,34093604,2024-05-03 08:40:55,2109,4,BLR,ASMMsgProcessor
27,34009583,2024-05-02 11:40:50,2110,4,BOM,ASMMsgProcessor
28,34009887,2024-05-02 11:40:51,2127,4,BOM,ASMMsgProcessor
33,34175568,2024-05-04 06:16:13,2359,4,BLR,ASMMsgProcessor
46,34178134,2024-05-04 06:16:18,2104,5,BLR,ASMMsgProcessor
47,34177592,2024-05-04 06:16:15,2109,5,BLR,ASMMsgProcessor
48,34230340,2024-05-04 17:09:18,2109,5,BLR,ASMMsgProcessor
49,34175273,2024-05-04 06:16:12,2110,5,BOM,ASMMsgProcessor
50,34177414,2024-05-04 06:16:14,2127,5,BOM,ASMMsgProcessor
58,34177388,2024-05-04 06:16:14,2359,5,BLR,ASMMsgProcessor
69,34177034,2024-05-04 06:16:11,2104,6,BLR,ASMMsgProcessor
70,34177930,2024-05-04 06:16:17,2109,6,BLR,ASMMsgProcessor
71,34177313,2024-05-04 06:16:13,2110,6,BOM,ASMMsgProcessor
72,34177554,2024-05-04 06:16:15,2127,6,BOM,ASMMsgProcessor
78,34259326,2024-05-05 02:59:30,2359,6,BLR,ASMMsgProcessor
90,34356431,2024-05-06 02:09:48,2104,7,BLR,ASMMsgProcessor
91,34435394,2024-05-06 17:47:42,2104,7,BLR,ASMMsgProcessor
92,34355971,2024-05-06 02:09:48,2109,7,BLR,ASMMsgProcessor
93,34435075,2024-05-06 17:47:41,2109,7,BLR,ASMMsgProcessor
94,34356150,2024-05-06 02:09:47,2110,7,BOM,ASMMsgProcessor
95,34435164,2024-05-06 17:47:41,2110,7,BOM,ASMMsgProcessor
96,34259161,2024-05-05 02:59:29,2127,7,BOM,ASMMsgProcessor
109,34404419,2024-05-06 10:49:17,2359,7,BLR,ASMMsgProcessor
138,34405537,2024-05-06 10:49:18,2104,8,BLR,ASMMsgProcessor
139,34405182,2024-05-06 10:49:16,2109,8,BLR,ASMMsgProcessor
140,34404779,2024-05-06 10:49:17,2110,8,BOM,ASMMsgProcessor
141,34405317,2024-05-06 10:49:17,2127,8,BOM,ASMMsgProcessor
252,33845788,2024-04-30 22:14:13,2359,1,BLR,ASMMsgProcessor
280,33901310,2024-05-01 09:00:14,2104,2,BLR,ASMMsgProcessor
283,33901264,2024-05-01 09:00:13,2109,2,BLR,ASMMsgProcessor
284,33900863,2024-05-01 09:00:13,2110,2,BOM,ASMMsgProcessor
285,33846055,2024-04-30 22:14:14,2127,2,BOM,ASMMsgProcessor
393,33939557,2024-05-01 19:11:48,2109,3,BLR,ASMMsgProcessor
415,33833583,2024-04-30 16:31:32,2359,3,BLR,ASMMsgProcessor
416,34008949,2024-05-02 11:37:17,2359,3,BLR,ASMMsgProcessor
498,34030195,2024-05-02 16:51:29,2104,4,BLR,ASMMsgProcessor
499,34092999,2024-05-03 08:40:53,2104,4,BLR,ASMMsgProcessor
500,34148538,2024-05-04 01:21:18,2104,4,BLR,ASMMsgProcessor
504,34030873,2024-05-02 16:51:33,2109,4,BLR,ASMMsgProcessor
505,34030590,2024-05-02 16:51:30,2110,4,BOM,ASMMsgProcessor
506,34093371,2024-05-03 08:40:54,2110,4,BOM,ASMMsgProcessor
507,34148574,2024-05-04 01:21:18,2110,4,BOM,ASMMsgProcessor
513,33834180,2024-04-30 16:31:34,2127,4,BOM,ASMMsgProcessor
514,34009056,2024-05-02 11:37:18,2127,4,BOM,ASMMsgProcessor
657,33814404,2024-04-30 13:31:04,2359,5,BLR,ASMMsgProcessor
658,34096705,2024-05-03 09:05:30,2359,5,BLR,ASMMsgProcessor
659,34178208,2024-05-04 06:19:45,2359,5,BLR,ASMMsgProcessor
746,34234180,2024-05-04 21:26:42,2104,6,BLR,ASMMsgProcessor
748,34233784,2024-05-04 21:26:41,2109,6,BLR,ASMMsgProcessor
749,34234065,2024-05-04 21:26:42,2110,6,BOM,ASMMsgProcessor
755,33813739,2024-04-30 13:30:59,2127,6,BOM,ASMMsgProcessor
756,34096481,2024-05-03 09:05:30,2127,6,BOM,ASMMsgProcessor
757,34178624,2024-05-04 06:19:47,2127,6,BOM,ASMMsgProcessor
792,33814657,2024-04-30 13:31:06,2359,6,BLR,ASMMsgProcessor
793,34032219,2024-05-02 16:58:13,2359,6,BLR,ASMMsgProcessor
794,34190772,2024-05-04 08:24:47,2359,6,BLR,ASMMsgProcessor
907,34178795,2024-05-04 06:19:48,2104,7,BLR,ASMMsgProcessor
909,34178456,2024-05-04 06:19:47,2109,7,BLR,ASMMsgProcessor
910,34178526,2024-05-04 06:19:46,2110,7,BOM,ASMMsgProcessor
913,33813850,2024-04-30 13:31:02,2127,7,BOM,ASMMsgProcessor
914,34032449,2024-05-02 16:58:14,2127,7,BOM,ASMMsgProcessor
915,34190417,2024-05-04 08:24:45,2127,7,BOM,ASMMsgProcessor
944,33817219,2024-04-30 13:31:39,2359,7,BLR,ASMMsgProcessor
945,34286156,2024-05-05 08:11:39,2359,7,BLR,ASMMsgProcessor
946,34366701,2024-05-06 03:23:44,2359,7,BLR,ASMMsgProcessor
1062,34408983,2024-05-06 11:08:50,2104,8,BLR,ASMMsgProcessor
1067,34408632,2024-05-06 11:08:49,2109,8,BLR,ASMMsgProcessor
1068,34408951,2024-05-06 11:08:50,2110,8,BOM,ASMMsgProcessor
1075,33817859,2024-04-30 13:31:40,2127,8,BOM,ASMMsgProcessor
1076,34285532,2024-05-05 08:11:36,2127,8,BOM,ASMMsgProcessor
1077,34366566,2024-05-06 03:23:42,2127,8,BOM,ASMMsgProcessor
1100,34286396,2024-05-05 08:11:40,2359,8,BLR,ASMMsgProcessor
1185,33817959,2024-04-30 13:31:41,2104,9,BLR,ASMMsgProcessor
1186,33834637,2024-04-30 16:41:55,2104,9,BLR,ASMMsgProcessor
1187,34408562,2024-05-06 11:08:47,2104,9,BLR,ASMMsgProcessor
1188,34485389,2024-05-07 07:18:02,2104,9,BLR,ASMMsgProcessor
1221,34335393,2024-05-05 22:21:38,2359,9,BLR,ASMMsgProcessor
1314,34335657,2024-05-05 22:21:40,2127,10,BOM,ASMMsgProcessor
1338,34363279,2024-05-06 03:07:29,2359,10,BLR,ASMMsgProcessor
1418,34035708,2024-05-02 17:50:12,2104,11,BLR,ASMMsgProcessor
1423,34036402,2024-05-02 17:50:11,2109,11,BLR,ASMMsgProcessor
1424,34036026,2024-05-02 17:50:10,2110,11,BOM,ASMMsgProcessor
1432,34363420,2024-05-06 03:07:29,2127,11,BOM,ASMMsgProcessor
1475,33836781,2024-04-30 16:42:09,2359,11,BLR,ASMMsgProcessor
1570,33834316,2024-04-30 16:42:00,2127,12,BOM,ASMMsgProcessor
1601,33838399,2024-04-30 16:51:43,2359,12,BLR,ASMMsgProcessor
1602,34322794,2024-05-05 15:22:22,2359,12,BLR,ASMMsgProcessor
1603,34335022,2024-05-05 22:21:37,2359,12,BLR,ASMMsgProcessor
1604,34338879,2024-05-05 22:24:47,2359,12,BLR,ASMMsgProcessor
1605,34362723,2024-05-06 03:07:26,2359,12,BLR,ASMMsgProcessor
1606,34445784,2024-05-06 23:34:51,2359,12,BLR,ASMMsgProcessor
1725,33838825,2024-04-30 16:51:42,2127,13,BOM,ASMMsgProcessor
1726,34322166,2024-05-05 15:22:17,2127,13,BOM,ASMMsgProcessor
1727,34335437,2024-05-05 22:21:39,2127,13,BOM,ASMMsgProcessor
1728,34338340,2024-05-05 22:24:43,2127,13,BOM,ASMMsgProcessor
1729,34362760,2024-05-06 03:07:26,2127,13,BOM,ASMMsgProcessor
1730,34444899,2024-05-06 23:34:44,2127,13,BOM,ASMMsgProcessor
1882,33835483,2024-04-30 16:42:01,2359,14,BLR,ASMMsgProcessor
1883,33838692,2024-04-30 16:51:41,2359,14,BLR,ASMMsgProcessor
1884,34334336,2024-05-05 22:21:35,2359,14,BLR,ASMMsgProcessor
1885,34445708,2024-05-06 23:34:49,2359,14,BLR,ASMMsgProcessor
2019,34334979,2024-05-05 22:21:35,2127,15,BOM,ASMMsgProcessor
2020,34444299,2024-05-06 23:34:40,2127,15,BOM,ASMMsgProcessor
2056,34362904,2024-05-06 03:07:27,2359,15,BLR,ASMMsgProcessor
2140,34363220,2024-05-06 03:07:28,2127,16,BOM,ASMMsgProcessor
2335,34320455,2024-05-05 15:17:26,2359,18,BLR,ASMMsgProcessor
2384,34319930,2024-05-05 15:17:23,2127,19,BOM,ASMMsgProcessor
2404,34321062,2024-05-05 15:22:10,2359,19,BLR,ASMMsgProcessor
2405,34443608,2024-05-06 23:34:37,2359,19,BLR,ASMMsgProcessor
2465,34445399,2024-05-06 23:34:46,2127,20,BOM,ASMMsgProcessor
2502,33939508,2024-05-01 19:10:12,2104,3,BLR,ASMMsgProcessor
2503,33939271,2024-05-01 19:10:12,2110,3,BOM,ASMMsgProcessor
2527,34305654,2024-05-05 12:02:09,2104,5,BLR,ASMMsgProcessor
2619,34034340,2024-05-02 17:23:25,2104,11,BLR,ASMMsgProcessor
2620,34034248,2024-05-02 17:23:24,2109,11,BLR,ASMMsgProcessor
2621,34033319,2024-05-02 17:23:24,2110,11,BOM,ASMMsgProcessor
2699,33816742,2024-04-30 13:31:22,2104,14,BLR,ASMMsgProcessor
2702,33815867,2024-04-30 13:31:16,2109,14,BLR,ASMMsgProcessor
2703,33815208,2024-04-30 13:31:11,2110,14,BOM,ASMMsgProcessor
2707,33816941,2024-04-30 13:31:24,2127,14,BOM,ASMMsgProcessor
2732,33815419,2024-04-30 13:31:13,2359,14,BLR,ASMMsgProcessor
2814,33859833,2024-05-01 01:35:16,2104,15,BLR,ASMMsgProcessor
2817,33861602,2024-05-01 01:35:28,2109,15,BLR,ASMMsgProcessor
2818,33860286,2024-05-01 01:35:20,2110,15,BOM,ASMMsgProcessor
2822,33859938,2024-05-01 01:35:18,2127,15,BOM,ASMMsgProcessor
2845,33860405,2024-05-01 01:35:21,2359,15,BLR,ASMMsgProcessor
2923,33957770,2024-05-02 01:35:23,2104,16,BLR,ASMMsgProcessor
2926,33956030,2024-05-02 01:35:16,2109,16,BLR,ASMMsgProcessor
2927,33958338,2024-05-02 01:35:29,2110,16,BOM,ASMMsgProcessor
2931,33957262,2024-05-02 01:35:19,2127,16,BOM,ASMMsgProcessor
2954,33957735,2024-05-02 01:35:23,2359,16,BLR,ASMMsgProcessor
3034,34058375,2024-05-03 01:35:28,2104,17,BLR,ASMMsgProcessor
3037,34058028,2024-05-03 01:35:26,2109,17,BLR,ASMMsgProcessor
3038,34056585,2024-05-03 01:35:16,2110,17,BOM,ASMMsgProcessor
3042,34058573,2024-05-03 01:35:29,2127,17,BOM,ASMMsgProcessor
3065,34056388,2024-05-03 01:35:16,2359,17,BLR,ASMMsgProcessor
3151,34150351,2024-05-04 01:35:15,2104,18,BLR,ASMMsgProcessor
3154,34152729,2024-05-04 01:35:28,2109,18,BLR,ASMMsgProcessor
3155,34152250,2024-05-04 01:35:25,2110,18,BOM,ASMMsgProcessor
3159,34150969,2024-05-04 01:35:16,2127,18,BOM,ASMMsgProcessor
3182,34152015,2024-05-04 01:35:23,2359,18,BLR,ASMMsgProcessor
3261,34250743,2024-05-05 01:35:22,2104,19,BLR,ASMMsgProcessor
3264,34249407,2024-05-05 01:35:13,2109,19,BLR,ASMMsgProcessor
3265,34251209,2024-05-05 01:35:27,2110,19,BOM,ASMMsgProcessor
3269,34249739,2024-05-05 01:35:17,2127,19,BOM,ASMMsgProcessor
3292,34250397,2024-05-05 01:35:21,2359,19,BLR,ASMMsgProcessor
3373,34354269,2024-05-06 01:35:28,2104,20,BLR,ASMMsgProcessor
3375,34353959,2024-05-06 01:35:26,2109,20,BLR,ASMMsgProcessor
3376,34352280,2024-05-06 01:35:15,2110,20,BOM,ASMMsgProcessor
3380,34354252,2024-05-06 01:35:31,2127,20,BOM,ASMMsgProcessor
3403,34351851,2024-05-06 01:35:17,2359,20,BLR,ASMMsgProcessor
3481,34456914,2024-05-07 01:35:20,2104,21,BLR,ASMMsgProcessor
3484,34458017,2024-05-07 01:35:29,2109,21,BLR,ASMMsgProcessor
3485,34457864,2024-05-07 01:35:27,2110,21,BOM,ASMMsgProcessor
3489,34456163,2024-05-07 01:35:15,2127,21,BOM,ASMMsgProcessor
3514,34456834,2024-05-07 01:35:19,2359,21,BLR,ASMMsgProcessor
3636,33811843,2024-04-30 13:30:38,2359,29,BLR,ASMMsgProcessor
3639,33820843,2024-04-30 13:32:16,2104,30,BLR,ASMMsgProcessor
3642,33815248,2024-04-30 13:31:09,2109,30,BLR,ASMMsgProcessor
3643,33819948,2024-04-30 13:32:05,2110,30,BOM,ASMMsgProcessor
3647,33819385,2024-04-30 13:31:57,2127,30,BOM,ASMMsgProcessor
3673,33847489,2024-04-30 23:00:35,2359,30,BLR,ASMMsgProcessor
3756,33922118,2024-05-01 12:49:55,2104,1,BLR,ASMMsgProcessor
3759,33859475,2024-05-01 01:33:18,2109,1,BLR,ASMMsgProcessor
3760,33908922,2024-05-01 10:11:30,2110,1,BOM,ASMMsgProcessor
3764,33896052,2024-05-01 08:01:37,2127,1,BOM,ASMMsgProcessor
3787,33944744,2024-05-01 23:02:18,2359,1,BLR,ASMMsgProcessor
3866,34014502,2024-05-02 12:37:27,2104,2,BLR,ASMMsgProcessor
3869,33956122,2024-05-02 01:29:02,2109,2,BLR,ASMMsgProcessor
3870,34000173,2024-05-02 10:01:13,2110,2,BOM,ASMMsgProcessor
3874,33990350,2024-05-02 08:01:50,2127,2,BOM,ASMMsgProcessor
3899,34044565,2024-05-02 23:06:51,2359,2,BLR,ASMMsgProcessor
3976,34114890,2024-05-03 12:40:00,2104,3,BLR,ASMMsgProcessor
3978,34054912,2024-05-03 01:19:44,2109,3,BLR,ASMMsgProcessor
3979,34102170,2024-05-03 10:05:06,2110,3,BOM,ASMMsgProcessor
3983,34095457,2024-05-03 09:03:45,2127,3,BOM,ASMMsgProcessor
4007,34138804,2024-05-03 23:08:55,2359,3,BLR,ASMMsgProcessor
4089,34213777,2024-05-04 12:46:14,2104,4,BLR,ASMMsgProcessor
4092,34154326,2024-05-04 01:44:08,2109,4,BLR,ASMMsgProcessor
4093,34200102,2024-05-04 10:14:00,2110,4,BOM,ASMMsgProcessor
4097,34189437,2024-05-04 08:25:38,2127,4,BOM,ASMMsgProcessor
4122,34237362,2024-05-04 23:09:28,2359,4,BLR,ASMMsgProcessor
4203,34313053,2024-05-05 13:44:38,2104,5,BLR,ASMMsgProcessor
4206,34248076,2024-05-05 01:25:21,2109,5,BLR,ASMMsgProcessor
4207,34295764,2024-05-05 10:00:53,2110,5,BOM,ASMMsgProcessor
4211,34283772,2024-05-05 07:52:40,2127,5,BOM,ASMMsgProcessor
4234,34341646,2024-05-05 22:57:30,2359,5,BLR,ASMMsgProcessor
4315,34434157,2024-05-06 16:52:45,2104,6,BLR,ASMMsgProcessor
4318,34351797,2024-05-06 01:32:54,2109,6,BLR,ASMMsgProcessor
4319,34402834,2024-05-06 10:23:26,2110,6,BOM,ASMMsgProcessor
4323,34389602,2024-05-06 07:49:13,2127,6,BOM,ASMMsgProcessor
4345,34441726,2024-05-06 23:04:34,2359,6,BLR,ASMMsgProcessor
4422,34455181,2024-05-07 01:21:07,2109,7,BLR,ASMMsgProcessor
4423,34488767,2024-05-07 07:54:16,2127,7,BOM,ASMMsgProcessor
4475,33815286,2024-04-30 13:31:10,2359,29,BLR,ASMMsgProcessor
4502,34065010,2024-05-03 02:58:06,2109,3,BLR,ASMMsgProcessor
4503,34104809,2024-05-03 10:41:07,2127,3,BOM,ASMMsgProcessor
4517,34160587,2024-05-04 03:06:20,2109,4,BLR,ASMMsgProcessor
4518,34200210,2024-05-04 10:05:40,2127,4,BOM,ASMMsgProcessor
4537,34318891,2024-05-05 15:08:40,2104,5,BLR,ASMMsgProcessor
4571,33817612,2024-04-30 13:31:36,2104,30,BLR,ASMMsgProcessor
4574,33817205,2024-04-30 13:31:29,2110,30,BOM,ASMMsgProcessor
4578,33811569,2024-04-30 13:30:39,2127,30,BOM,ASMMsgProcessor
4595,33826856,2024-04-30 15:01:44,2359,30,BLR,ASMMsgProcessor
4646,33876609,2024-05-01 04:26:11,2104,1,BLR,ASMMsgProcessor
4649,33840649,2024-04-30 17:16:29,2109,1,BLR,ASMMsgProcessor
4650,33862242,2024-05-01 01:41:12,2110,1,BOM,ASMMsgProcessor
4654,33850273,2024-04-30 23:36:22,2127,1,BOM,ASMMsgProcessor
4679,33928599,2024-05-01 15:01:31,2359,1,BLR,ASMMsgProcessor
4762,33973096,2024-05-02 04:26:28,2104,2,BLR,ASMMsgProcessor
4765,33937039,2024-05-01 17:16:25,2109,2,BLR,ASMMsgProcessor
4766,33959268,2024-05-02 01:41:10,2110,2,BOM,ASMMsgProcessor
4770,33946948,2024-05-01 23:36:13,2127,2,BOM,ASMMsgProcessor
4794,34024635,2024-05-02 15:01:35,2359,2,BLR,ASMMsgProcessor
4879,34072138,2024-05-03 04:26:36,2104,3,BLR,ASMMsgProcessor
4882,34033195,2024-05-02 17:16:14,2109,3,BLR,ASMMsgProcessor
4883,34059297,2024-05-03 01:41:06,2110,3,BOM,ASMMsgProcessor
4887,34046601,2024-05-02 23:36:15,2127,3,BOM,ASMMsgProcessor
4911,34124589,2024-05-03 15:01:43,2359,3,BLR,ASMMsgProcessor
4997,34167954,2024-05-04 04:26:18,2104,4,BLR,ASMMsgProcessor
5000,34131547,2024-05-03 17:16:20,2109,4,BLR,ASMMsgProcessor
5001,34154057,2024-05-04 01:41:18,2110,4,BOM,ASMMsgProcessor
5005,34140632,2024-05-03 23:36:14,2127,4,BOM,ASMMsgProcessor
5027,34223165,2024-05-04 15:01:50,2359,4,BLR,ASMMsgProcessor
5111,34267113,2024-05-05 04:27:03,2104,5,BLR,ASMMsgProcessor
5114,34230612,2024-05-04 17:16:34,2109,5,BLR,ASMMsgProcessor
5115,34252172,2024-05-05 01:41:16,2110,5,BOM,ASMMsgProcessor
5119,34220149,2024-05-04 14:16:58,2127,5,BOM,ASMMsgProcessor
5144,34319499,2024-05-05 15:17:14,2359,5,BLR,ASMMsgProcessor
5226,34371477,2024-05-06 04:26:26,2104,6,BLR,ASMMsgProcessor
5229,34329791,2024-05-05 17:16:24,2109,6,BLR,ASMMsgProcessor
5230,34354829,2024-05-06 01:41:03,2110,6,BOM,ASMMsgProcessor
5234,34343796,2024-05-05 23:36:23,2127,6,BOM,ASMMsgProcessor
5257,34427300,2024-05-06 15:01:31,2359,6,BLR,ASMMsgProcessor
5342,34471907,2024-05-07 04:26:31,2104,7,BLR,ASMMsgProcessor
5344,34434022,2024-05-06 17:16:23,2109,7,BLR,ASMMsgProcessor
5345,34459046,2024-05-07 01:41:04,2110,7,BOM,ASMMsgProcessor
5349,34445982,2024-05-06 23:36:23,2127,7,BOM,ASMMsgProcessor
5451,33822930,2024-04-30 14:04:32,2104,30,BLR,ASMMsgProcessor
5454,33817341,2024-04-30 13:31:31,2109,30,BLR,ASMMsgProcessor
5455,33820223,2024-04-30 13:32:10,2110,30,BOM,ASMMsgProcessor
5458,33819838,2024-04-30 13:32:04,2127,30,BOM,ASMMsgProcessor
5478,33858485,2024-05-01 01:18:08,2359,30,BLR,ASMMsgProcessor
5551,33926458,2024-05-01 14:11:16,2104,1,BLR,ASMMsgProcessor
5554,33915787,2024-05-01 11:25:22,2110,1,BOM,ASMMsgProcessor
5557,33902511,2024-05-01 09:39:50,2127,1,BOM,ASMMsgProcessor
5582,33955754,2024-05-02 01:25:32,2359,1,BLR,ASMMsgProcessor
5650,34020218,2024-05-02 13:59:19,2104,2,BLR,ASMMsgProcessor
5653,33965334,2024-05-02 02:57:44,2109,2,BLR,ASMMsgProcessor
5654,34007336,2024-05-02 11:23:25,2110,2,BOM,ASMMsgProcessor
5658,33999332,2024-05-02 09:45:23,2127,2,BOM,ASMMsgProcessor
5680,34055756,2024-05-03 01:28:34,2359,2,BLR,ASMMsgProcessor
5755,34121152,2024-05-03 14:12:22,2104,3,BLR,ASMMsgProcessor
5758,34108645,2024-05-03 11:22:38,2110,3,BOM,ASMMsgProcessor
5782,34156043,2024-05-04 02:04:22,2359,3,BLR,ASMMsgProcessor
5850,34207655,2024-05-04 11:30:22,2110,4,BOM,ASMMsgProcessor
5875,34248808,2024-05-05 01:31:21,2359,4,BLR,ASMMsgProcessor
5942,34256903,2024-05-05 02:45:03,2109,5,BLR,ASMMsgProcessor
5943,34302016,2024-05-05 11:16:04,2110,5,BOM,ASMMsgProcessor
5946,34292990,2024-05-05 09:34:32,2127,5,BOM,ASMMsgProcessor
5968,34350942,2024-05-06 01:17:03,2359,5,BLR,ASMMsgProcessor
6035,34360746,2024-05-06 02:58:46,2109,6,BLR,ASMMsgProcessor
6037,34399280,2024-05-06 09:35:55,2127,6,BOM,ASMMsgProcessor
6059,34455525,2024-05-07 01:26:57,2359,6,BLR,ASMMsgProcessor
6118,34463895,2024-05-07 02:45:39,2109,7,BLR,ASMMsgProcessor
6190,33810599,2024-04-30 13:30:38,2359,29,BLR,ASMMsgProcessor
6193,33820753,2024-04-30 13:32:15,2104,30,BLR,ASMMsgProcessor
6196,33815172,2024-04-30 13:31:08,2109,30,BLR,ASMMsgProcessor
6197,33819874,2024-04-30 13:32:03,2110,30,BOM,ASMMsgProcessor
6201,33819129,2024-04-30 13:31:55,2127,30,BOM,ASMMsgProcessor
6227,33847564,2024-04-30 22:47:15,2359,30,BLR,ASMMsgProcessor
6306,33858017,2024-05-01 01:11:18,2109,1,BLR,ASMMsgProcessor
6307,33906971,2024-05-01 09:52:10,2110,1,BOM,ASMMsgProcessor
6311,33894788,2024-05-01 07:38:17,2127,1,BOM,ASMMsgProcessor
6333,33944124,2024-05-01 22:47:18,2359,1,BLR,ASMMsgProcessor
6413,34013453,2024-05-02 12:21:07,2104,2,BLR,ASMMsgProcessor
6416,33954878,2024-05-02 01:13:01,2109,2,BLR,ASMMsgProcessor
6417,33998236,2024-05-02 09:34:42,2110,2,BOM,ASMMsgProcessor
6421,33986796,2024-05-02 07:35:20,2127,2,BOM,ASMMsgProcessor
6445,34043600,2024-05-02 22:50:01,2359,2,BLR,ASMMsgProcessor
6524,34113525,2024-05-03 12:23:59,2104,3,BLR,ASMMsgProcessor
6527,34053928,2024-05-03 01:00:53,2109,3,BLR,ASMMsgProcessor
6528,34099390,2024-05-03 09:36:15,2110,3,BOM,ASMMsgProcessor
6532,34092737,2024-05-03 08:37:34,2127,3,BOM,ASMMsgProcessor
6555,34137879,2024-05-03 22:50:34,2359,3,BLR,ASMMsgProcessor
6634,34212568,2024-05-04 12:28:33,2104,4,BLR,ASMMsgProcessor
6637,34149553,2024-05-04 01:22:47,2109,4,BLR,ASMMsgProcessor
6638,34198470,2024-05-04 09:48:59,2110,4,BOM,ASMMsgProcessor
6642,34187767,2024-05-04 07:58:27,2127,4,BOM,ASMMsgProcessor
6664,34236036,2024-05-04 22:52:57,2359,4,BLR,ASMMsgProcessor
6746,34311207,2024-05-05 13:08:47,2104,5,BLR,ASMMsgProcessor
6749,34246746,2024-05-05 01:08:10,2109,5,BLR,ASMMsgProcessor
6750,34293014,2024-05-05 09:37:22,2110,5,BOM,ASMMsgProcessor
6754,34281997,2024-05-05 07:33:09,2127,5,BOM,ASMMsgProcessor
6779,34341079,2024-05-05 22:45:50,2359,5,BLR,ASMMsgProcessor
6853,34432465,2024-05-06 16:08:25,2104,6,BLR,ASMMsgProcessor
6856,34350718,2024-05-06 01:15:04,2109,6,BLR,ASMMsgProcessor
6857,34400518,2024-05-06 09:53:15,2110,6,BOM,ASMMsgProcessor
6861,34387590,2024-05-06 07:28:32,2127,6,BOM,ASMMsgProcessor
6884,34441005,2024-05-06 22:46:13,2359,6,BLR,ASMMsgProcessor
6962,34453978,2024-05-07 01:07:17,2109,7,BLR,ASMMsgProcessor
7031,33920146,2024-05-01 12:26:34,2104,1,BLR,ASMMsgProcessor
7053,34487551,2024-05-07 07:36:06,2127,7,BOM,ASMMsgProcessor
7063,33867017,2024-05-01 02:58:00,2109,1,BLR,ASMMsgProcessor
7086,34219892,2024-05-04 14:13:35,2104,4,BLR,ASMMsgProcessor
7093,34435935,2024-05-06 18:20:37,2104,6,BLR,ASMMsgProcessor
7111,33815296,2024-04-30 13:31:10,2359,29,BLR,ASMMsgProcessor
7114,33823463,2024-04-30 14:11:33,2104,30,BLR,ASMMsgProcessor
7117,33817421,2024-04-30 13:31:32,2109,30,BLR,ASMMsgProcessor
7118,33820225,2024-04-30 13:32:10,2110,30,BOM,ASMMsgProcessor
7122,33819976,2024-04-30 13:32:05,2127,30,BOM,ASMMsgProcessor
7149,33858777,2024-05-01 01:28:29,2359,30,BLR,ASMMsgProcessor
7233,33927293,2024-05-01 14:16:47,2104,1,BLR,ASMMsgProcessor
7236,33868948,2024-05-01 03:04:10,2109,1,BLR,ASMMsgProcessor
7237,33916488,2024-05-01 11:33:32,2110,1,BOM,ASMMsgProcessor
7241,33906799,2024-05-01 09:52:50,2127,1,BOM,ASMMsgProcessor
7266,33955952,2024-05-02 01:32:02,2359,1,BLR,ASMMsgProcessor
7349,34020908,2024-05-02 14:08:49,2104,2,BLR,ASMMsgProcessor
7352,33965860,2024-05-02 03:03:24,2109,2,BLR,ASMMsgProcessor
7353,34008678,2024-05-02 11:37:26,2110,2,BOM,ASMMsgProcessor
7357,33999615,2024-05-02 09:57:23,2127,2,BOM,ASMMsgProcessor
7381,34058747,2024-05-03 01:36:45,2359,2,BLR,ASMMsgProcessor
7466,34121681,2024-05-03 14:19:12,2104,3,BLR,ASMMsgProcessor
7469,34065524,2024-05-03 03:03:56,2109,3,BLR,ASMMsgProcessor
7470,34109964,2024-05-03 11:37:48,2110,3,BOM,ASMMsgProcessor
7474,34105739,2024-05-03 10:54:27,2127,3,BOM,ASMMsgProcessor
7499,34156200,2024-05-04 02:06:11,2359,3,BLR,ASMMsgProcessor
7585,34220443,2024-05-04 14:19:46,2104,4,BLR,ASMMsgProcessor
7588,34161142,2024-05-04 03:12:30,2109,4,BLR,ASMMsgProcessor
7589,34209148,2024-05-04 11:48:43,2110,4,BOM,ASMMsgProcessor
7593,34200454,2024-05-04 10:14:10,2127,4,BOM,ASMMsgProcessor
7618,34252413,2024-05-05 01:48:22,2359,4,BLR,ASMMsgProcessor
7699,34320170,2024-05-05 15:17:26,2104,5,BLR,ASMMsgProcessor
7702,34257254,2024-05-05 02:50:33,2109,5,BLR,ASMMsgProcessor
7703,34303254,2024-05-05 11:30:35,2110,5,BOM,ASMMsgProcessor
7707,34293762,2024-05-05 09:42:42,2127,5,BOM,ASMMsgProcessor
7732,34351363,2024-05-06 01:23:44,2359,5,BLR,ASMMsgProcessor
7815,34436013,2024-05-06 18:25:47,2104,6,BLR,ASMMsgProcessor
7818,34361054,2024-05-06 03:04:46,2109,6,BLR,ASMMsgProcessor
7822,34399951,2024-05-06 09:44:35,2127,6,BOM,ASMMsgProcessor
7847,34455359,2024-05-07 01:35:07,2359,6,BLR,ASMMsgProcessor
