,id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
0,137524484,2024-04-30 04:01:47,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:47,383 INFO  [a277234c22fa2e5d] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125357  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BHX       B         11        false     NULL 
From positions : 11 
To positions   : 42"
1,137524940,2024-04-30 04:01:50,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:50,188 INFO  [3b152cbdf5b057ed] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140866  AKH       19606     IB        NULL      ACTUAL    135.00    KG   3         0.00      DUB       DUB       BHX       C         NULL      false     NULL 
To positions   : 11"
2,137524943,2024-04-30 04:01:50,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:50,193 INFO  [3b152cbdf5b057ed] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978056  flightId = 667642 legId = 687453  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125359  NULL         ESTIMATE  0.00      KG   0         0.00      DUB       DUB       BHX       BT        NULL      false     NULL 
 37125360  NULL         ESTIMATE  39.00     KG   3         0.00      DUB       DUB       BHX       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125358  AKH       NULL      MN                  ESTIMATE  234.00    KG   18        0.00      DUB       DUB       BHX       B         41        false     NULL 
 37125357  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BHX       B         42        false     NULL 
 37140866  AKH       19606     IB        NULL      ACTUAL    135.00    KG   3         0.00      DUB       DUB       BHX       C         11        false     NULL 

STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 5 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
3,137524964,2024-04-30 04:05:32,MN,1630,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:05:32,214 INFO  [52735a0dd84d57d0] [MN1630  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37124716  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BRU       B         11        false     NULL 
From positions : 11 
To positions   : 32"
4,137525021,2024-04-30 04:02:12,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:12,081 INFO  [8d65801e1dbb10e7] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         11        false     NULL 
From positions : 11 
To positions   : 42"
5,137525024,2024-04-30 04:02:12,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:12,083 INFO  [8d65801e1dbb10e7] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
6,137525029,2024-04-30 04:02:21,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:21,718 INFO  [89e70cd2d6c4eccb] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
To positions   : 32"
7,137525032,2024-04-30 04:02:21,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:21,723 INFO  [89e70cd2d6c4eccb] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         32        false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
8,137525033,2024-04-30 04:02:24,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:24,129 INFO  [f292f9ae94fcc55e] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
To positions   : 11"
9,137525036,2024-04-30 04:02:24,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:24,134 INFO  [f292f9ae94fcc55e] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         32        false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         11        false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
10,137525037,2024-04-30 04:02:55,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:55,823 INFO  [b207bbfe3e4f9f10] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37144700  AKH       44778     BA        NULL      ACTUAL    303.00    KG   0         0.00      DUB       DUB       CDG       M         NULL      false     NULL 
To positions   : 11"
11,137525044,2024-04-30 04:02:55,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:55,833 INFO  [b207bbfe3e4f9f10] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978137  flightId = 667683 legId = 687494  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125183  NULL         ESTIMATE  26.00     KG   2         0.00      DUB       DUB       CDG       BT        NULL      false     NULL 
 37125182  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       CDG       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37144700  AKH       44778     BA        NULL      ACTUAL    303.00    KG   0         0.00      DUB       DUB       CDG       M         11        false     NULL 
 37125180  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         32        false     NULL 
 37144702  AKH       46046     BA        NULL      ACTUAL    94.00     KG   0         0.00      DUB       DUB       CDG       C         NULL      false     NULL 
 37125181  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         41        false     NULL 
 37125179  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         42        false     NULL 
 37144701  AKH       67400     MN        NULL      ACTUAL    333.00    KG   0         0.00      DUB       DUB       CDG       M         NULL      false     NULL 

STATUS FUEL 11 AIRCRAFT_CONFIG 1 EZFW 10 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 4 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 10 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
12,137525047,2024-04-30 04:01:47,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:47,385 INFO  [a277234c22fa2e5d] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978056  flightId = 667642 legId = 687453  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125359  NULL         ESTIMATE  0.00      KG   0         0.00      DUB       DUB       BHX       BT        NULL      false     NULL 
 37125360  NULL         ESTIMATE  39.00     KG   3         0.00      DUB       DUB       BHX       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125358  AKH       NULL      MN                  ESTIMATE  234.00    KG   18        0.00      DUB       DUB       BHX       B         41        false     NULL 
 37125357  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BHX       B         42        false     NULL 
 37140866  AKH       19606     IB        NULL      ACTUAL    135.00    KG   3         0.00      DUB       DUB       BHX       C         NULL      false     NULL 

STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 5 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
13,137525053,2024-04-30 04:02:48,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:48,745 INFO  [2efde9a356114794] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125179  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         11        false     NULL 
From positions : 11 
To positions   : 42"
14,137525060,2024-04-30 04:02:48,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:48,748 INFO  [2efde9a356114794] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978137  flightId = 667683 legId = 687494  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125183  NULL         ESTIMATE  26.00     KG   2         0.00      DUB       DUB       CDG       BT        NULL      false     NULL 
 37125182  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       CDG       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37144700  AKH       44778     BA        NULL      ACTUAL    303.00    KG   0         0.00      DUB       DUB       CDG       M         NULL      false     NULL 
 37125180  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         NULL      false     NULL 
 37144702  AKH       46046     BA        NULL      ACTUAL    94.00     KG   0         0.00      DUB       DUB       CDG       C         NULL      false     NULL 
 37125181  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         41        false     NULL 
 37125179  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         42        false     NULL 
 37144701  AKH       67400     MN        NULL      ACTUAL    333.00    KG   0         0.00      DUB       DUB       CDG       M         NULL      false     NULL 

STATUS FUEL 9 AIRCRAFT_CONFIG 1 EZFW 8 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 4 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 8 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
15,137525061,2024-04-30 04:02:51,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:51,419 INFO  [7113033194c3461f] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125180  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         NULL      false     NULL 
To positions   : 32"
16,137525066,2024-04-30 04:01:52,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:52,610 INFO  [738e6cdaf22e4df1] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_NIL_ALL"
17,137525074,2024-04-30 04:02:27,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:27,886 INFO  [e95ad3ea2f047e2e] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_NIL_ALL"
18,137525080,2024-04-30 04:03:26,MN,1332,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:03:26,636 INFO  [adf96aa7c538077c] [MN1332  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125418  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BER       B         11        false     NULL 
From positions : 11 
To positions   : 42"
19,137525083,2024-04-30 04:03:26,MN,1332,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:03:26,641 INFO  [adf96aa7c538077c] [MN1332  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2977880  flightId = 667603 legId = 687394  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125419  NULL         ESTIMATE  39.00     KG   3         0.00      DUB       DUB       BER       B         NULL      false     NULL 
 37125420  NULL         ESTIMATE  26.00     KG   2         0.00      DUB       DUB       BER       BT        NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125418  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BER       B         42        false     NULL 
 37125417  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BER       B         41        false     NULL 

STATUS FUEL 3 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_TRANSFER 1 OFP 8 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 3"
20,137525099,2024-04-30 04:03:31,MN,1332,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:03:31,093 INFO  [78ec7a983fab614b] [MN1332  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_NIL_ALL"
21,137525108,2024-04-30 04:02:51,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:51,421 INFO  [7113033194c3461f] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978137  flightId = 667683 legId = 687494  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125183  NULL         ESTIMATE  26.00     KG   2         0.00      DUB       DUB       CDG       BT        NULL      false     NULL 
 37125182  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       CDG       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37144700  AKH       44778     BA        NULL      ACTUAL    303.00    KG   0         0.00      DUB       DUB       CDG       M         NULL      false     NULL 
 37125180  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         32        false     NULL 
 37144702  AKH       46046     BA        NULL      ACTUAL    94.00     KG   0         0.00      DUB       DUB       CDG       C         NULL      false     NULL 
 37125181  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         41        false     NULL 
 37125179  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         42        false     NULL 
 37144701  AKH       67400     MN        NULL      ACTUAL    333.00    KG   0         0.00      DUB       DUB       CDG       M         NULL      false     NULL 

STATUS FUEL 10 AIRCRAFT_CONFIG 1 EZFW 9 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 4 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 9 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
22,137525109,2024-04-30 04:02:57,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:57,986 INFO  [516d352921ada3d] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37144701  AKH       67400     MN        NULL      ACTUAL    333.00    KG   0         0.00      DUB       DUB       CDG       M         NULL      false     NULL 
To positions   : 12"
23,137525116,2024-04-30 04:02:57,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:57,989 INFO  [516d352921ada3d] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978137  flightId = 667683 legId = 687494  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125183  NULL         ESTIMATE  26.00     KG   2         0.00      DUB       DUB       CDG       BT        NULL      false     NULL 
 37125182  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       CDG       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37144700  AKH       44778     BA        NULL      ACTUAL    303.00    KG   0         0.00      DUB       DUB       CDG       M         11        false     NULL 
 37125180  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         32        false     NULL 
 37144702  AKH       46046     BA        NULL      ACTUAL    94.00     KG   0         0.00      DUB       DUB       CDG       C         NULL      false     NULL 
 37125181  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         41        false     NULL 
 37125179  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       CDG       B         42        false     NULL 
 37144701  AKH       67400     MN        NULL      ACTUAL    333.00    KG   0         0.00      DUB       DUB       CDG       M         12        false     NULL 

STATUS FUEL 12 AIRCRAFT_CONFIG 1 EZFW 11 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 4 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 11 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
24,137525125,2024-04-30 04:03:00,MN,1520,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:03:00,359 INFO  [9b9dcc26173558c9] [MN1520  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37144702  AKH       46046     BA        NULL      ACTUAL    94.00     KG   0         0.00      DUB       DUB       CDG       C         NULL      false     NULL 
To positions   : 13"
